id,state,abbr,age_median,income_household_median,employed,heart_disease,cancer_other,depression
1,Alabama,AL,38.6,42830,57.7,5.6,8,21.3
2,Alaska,AK,33.3,71583,70,2.4,5.3,15.6
3,Arizona,AZ,36.9,50068,59.2,4,6.9,18.7
4,Arkansas,AR,37.8,41262,58.2,6.2,6.8,21.5
5,California,CA,36,61933,63.2,3.7,6,13.3
6,Colorado,CO,36.3,61303,68.1,3,6.1,17
7,Connecticut,CT,40.5,70048,67.2,3.7,7.1,18.3
8,Delaware,DE,39.6,59716,63.1,4.8,7.3,18.3
9,Washington D.C.,DC,33.8,71648,68.9,2.4,6.1,18.1
10,Florida,FL,41.6,47463,58.6,5.4,7.2,16.2
11,Georgia,GA,36.1,49321,62.4,4.1,5.9,18.3
12,Hawaii,HI,38.1,69592,64.8,3.4,5.8,10.7
13,Idaho,ID,35.9,47861,61.9,3.4,6.8,19.5
14,Illinois,IL,37.5,57444,65.4,3.6,5.3,16.7
15,Indiana,IN,37.4,49446,64,4.6,6.3,20.7
16,Iowa,IA,38.2,53712,67.8,4.1,6.8,18.7
17,Kansas,KS,36.2,52504,66,4.2,6.8,18.6
18,Kentucky,KY,38.5,42958,59.3,6,8.1,23.9
19,Louisiana,LA,36.1,44555,60,6.2,6.5,18.7
20,Maine,ME,44.1,49462,63.1,5.4,8,23.7
21,Maryland,MD,38.3,73971,68.1,3.2,5.8,15.9
22,Massachusetts,MA,39.4,69160,67.5,4.3,7.6,21.7
23,Michigan,MI,39.6,49847,61,5.4,7.7,20.5
24,Minnesota,MN,37.8,61481,69.7,3.5,6.3,18.2
25,Mississippi,MS,36.7,39680,57.7,4.7,6.5,19.9
26,Missouri,MO,38.5,48363,62.7,4.8,7.2,21.7
27,Montana,MT,39.6,46328,63.6,3.6,7.5,20.4
28,Nebraska,NE,36.2,52686,70.3,3.9,6.1,17.7
29,Nevada,NV,37.4,51450,63.7,4.7,5.9,15.6
30,New Hampshire,NH,42.5,66532,68,4.2,8,21
31,New Jersey,NJ,39.4,71919,66.1,4.4,6,13.4
32,New Mexico,NM,37.2,44803,59,3.9,6.9,21.1
33,New York,NY,38.2,58878,63.2,4.2,5.8,15.9
34,North Carolina,NC,38.3,46556,62.4,5,6.2,19
35,North Dakota,ND,35.1,59029,69.4,4.1,6.2,17.3
36,Ohio,OH,39.4,49308,63.3,4.8,6.4,20.9
37,Oklahoma,OK,36.2,47529,61.3,5.4,6.2,21.8
38,Oregon,OR,39.3,51075,61.5,4,7.9,24
39,Pennsylvania,PA,40.7,53234,62.5,5.1,6.9,19.7
40,Rhode Island,RI,39.8,54891,65,4.2,6.8,20.6
41,South Carolina,SC,38.8,45238,60.6,4.8,7,19.9
42,South Dakota,SD,36.6,50979,69.6,4.2,6.9,16.6
43,Tennessee,TN,38.6,44361,60.8,5.6,7.4,21.4
44,Texas,TX,34.3,53035,64.5,3.7,5.3,14.6
45,Utah,UT,30.5,60922,67.6,2.5,5.5,20.7
46,Vermont,VT,42.8,54166,66.2,4.1,7.1,21.8
47,Virginia,VA,37.7,64902,66.1,4,6.3,17.4
48,Washington,WA,37.5,61366,64.1,3.6,6.9,21.6
49,West Virginia,WV,41.9,41059,53.2,7.8,7.6,23.6
50,Wisconsin,WI,39.2,52622,66.9,3.7,7,17
51,Wyoming,WY,36.6,57055,68.2,4,6.7,19
